paragraph_arr,freq,title,rank,meaning,example,sentence,rating
CLUSTERS,9,8,72,Form a cluster or clusters.,the children clustered round her skirts,The silhouette method measures the similarity of an object to its own cluster -- called cohesion -- when compared to other clusters -- called separation,3
CALCULATION,9,8,72,A mathematical determination of the size or number of something.,finding ways of saving money involves complicated calculations,You can look at the figure where I have done all the weights calculation,3
DISTINGUISH,9,8,72,Recognize or treat (someone or something) as different.,the child is perfectly capable of distinguishing reality from fantasy,They don’t help you distinguish yourself from other people,3
SOUGHT,9,8,72,Attempt to find (something),they came here to seek shelter from biting winter winds,"From this list of variables and metrics, the data science team sought to create an “Attrition Score” that can be used to identify (or score) at-risk customers",3
ENCOURAGING,9,8,72,Giving someone support or confidence; supportive.,she gave me an encouraging smile,"Additionally, encouraging and standardizing a paradigm of reproducibility in your work promotes efficiency and accuracy",3
CONSIST,9,8,72,Be composed or made up of.,the exhibition consists of 180 drawings,More than 70% of data science project’s efforts consist on data-junk: collection and cleaning of data,3
STRANGE,9,8,72,Unusual or surprising in a way that is unsettling or hard to understand.,children have some strange ideas,"Apart from his strange opinions about statistics and statisticians, my main criticism of Pearl is that he overstates his case",3
RESUMES,10,7,70,Begin again or continue after a pause or interruption.,a day later normal service was resumed,"Even though the websites I recommend tend to have higher response rates than big job boards, it can still take weeks for recruiters to respond since they always have a pile of resumes to review",3
DIAGRAM,10,7,70,Represent (something) in graphic form.,the experiment is diagramed on page fourteen,"Much like forming a Free Body Diagram in a physics problem or utilizing Object-Oriented Design in Computer Science, describing all valid entities in a given data context helps to map out the expected interplay between them",3
PROFICIENCY,10,7,70,A high degree of competence or skill; expertise.,he demonstrated his proficiency in Chinese,,3
PRONE,10,7,70,"Likely to or liable to suffer from, do, or experience something, typically something regrettable or unwelcome.",years of logging had left the mountains prone to mudslides,"Unexamined assumptions is another pet peeve of mine, and qualitative researchers seem more prone to this than quantitative researchers",3
CHEAPER,10,7,70,At or for a low price.,a house that was going cheap because of the war,Data becomes more and more available as it is easier to collect and cheaper to store,3
CYBERSECURITY,10,7,70,"The state of being protected against the criminal or unauthorized use of electronic data, or the measures taken to achieve this.",some people have argued that the threat to cybersecurity has been somewhat inflated,I then wanted to relate this to my cybersecurity background,3
OFFLINE,11,6,66,While not directly controlled by or connected to a computer or external network.,Two more famous web sites were taken offline by their Internet service providers under orders from government authorities.,I don’t know any professional in this field offline,3
UPCOMING,8,8,64,Forthcoming; about to happen.,the upcoming election,Team #2 then tested their analytic models against two upcoming games: New Orleans and Houston,3
SHORTAGE,8,8,64,A state or situation in which something needed cannot be obtained in sufficient amounts.,a shortage of hard cash,The data scientists at Carlson Wagonlit Travel have no shortage of data or ideas,3
SIMULTANEOUSLY,8,8,64,At the same time.,the telethon was broadcast simultaneously on 31 US networks,Companies growing at a fast pace enjoy two unique advantages simultaneously,3
OVERLOOKED,8,8,64,Fail to notice.,he seems to have overlooked one important fact,"Veracity, one of the most overlooked Big Data characteristics, is directly related to data quality, as it refers to the inherent biases, noise and abnormality in data",3
